ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Solution
Code: Silica
Concentration: 100 %
Wavelength: 850 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   50
Ending pos:   90
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.95990000             0.28800000             0.50000000             0.00000000
   2     0.88000000             0.28000000             0.46000000             0.00000000
   3     0.80000000             0.26400000             0.42000000             0.00000000
   4     0.97990000             0.29600000             0.50000000             0.00000000
   5     1.16000000             0.35200000             0.59990000             0.00000000
   6     1.07900000             0.32000000             0.56000000             0.00000000
   7     1.12000000             0.31200000             0.56000000             0.00000000
   8     1.12000000             0.32000000             0.56000000             0.00000000
   9     0.90000000             0.31200000             0.52000000             0.00000000
  10     1.18000000             0.35200000             0.64000000             0.00000000
  11     1.40000000             0.39200000             0.76000000             0.00000000
  12     1.26000000             0.36000000             0.66000000             0.00000000
  13     0.84000000             0.31200000             0.52000000             0.00000000
  14     0.82000000             0.29600000             0.50000000             0.00000000
  15     0.74000000             0.27200000             0.44000000             0.00000000
  16     0.76000000             0.28000000             0.44000000             0.00000000
  17     0.76000000             0.32800000             0.57990000             0.00000000
  18     0.70000000             0.29600000             0.50000000             0.00000000
  19     0.85990000             0.31200000             0.56000000             0.00000000
  20     0.84000000             0.30400000             0.52000000             0.00000000
  21     0.72000000             0.43200000             0.80000000             0.00000000
  22     0.72000000             0.39200000             0.72000000             0.00000000
  23     0.76000000             0.38400000             0.70000000             0.00000000
  24     0.76000000             0.34400000             0.62000000             0.00000000
  25     0.38000000             0.22400000             0.36000000             0.00000000
  26     0.50000000             0.31200000             0.56000000             0.00000000
  27     0.59990000             0.39200000             0.72000000             0.00000000
  28     0.62000000             0.39200000             0.68000000             0.00000000
  29     0.40000000             0.30400000             0.52000000             0.00000000
  30     0.42000000             0.28800000             0.47990000             0.00000000
  31     0.40000000             0.25600000             0.42000000             0.00000000
  32     0.32000000             0.19200000             0.32000000             0.00000000
  33     0.44000000             0.36800000             0.68000000             0.00000000
  34     0.46000000             0.39200000             0.72000000             0.00000000
  35     0.46000000             0.38400000             0.72000000             0.00000000
  36     0.42000000             0.35200000             0.62000000             0.00000000
  37     0.53990000             0.37600000             0.76000000             0.00000000
  38     0.52000000             0.38400000             0.74000000             0.00000000
  39     0.44000000             0.33600000             0.62000000             0.00000000
  40     0.44000000             0.36000000             0.68000000             0.00000000
  41     0.62000000             0.35200000             0.64000000             0.00000000
  42     0.64000000             0.37600000             0.72000000             0.00000000
  43     0.62000000             0.39200000             0.77990000             0.00000000
  44     0.56000000             0.37600000             0.74000000             0.00000000
  45     0.64000000             0.22400000             0.40000000             0.00000000
  46     0.53990000             0.21600000             0.40000000             0.00000000
  47     0.59990000             0.28800000             0.53990000             0.00000000
  48     0.57990000             0.31200000             0.56000000             0.00000000
  49     1.26000000             0.32800000             0.57990000             0.00000000
  50     1.14000000             0.32800000             0.59990000             0.00000000
