ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Solution
Code: Ru(bpy)3
Concentration: 100 %
Wavelength: 890 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   50
Ending pos:   90
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     1.04800000             0.80800000             0.71200000             0.00000000
   2     1.05600000             0.81600000             0.71200000             0.00000000
   3     1.06400000             0.82400000             0.72000000             0.00000000
   4     0.98400000             0.76000000             0.65600000             0.00000000
   5     1.07200000             0.83200000             0.72800000             0.00000000
   6     1.08800000             0.84800000             0.73600000             0.00000000
   7     1.08800000             0.84800000             0.73600000             0.00000000
   8     1.05600000             0.81600000             0.71200000             0.00000000
   9     1.03200000             0.80800000             0.69600000             0.00000000
  10     1.07200000             0.84000000             0.73600000             0.00000000
  11     1.06400000             0.84800000             0.72000000             0.00000000
  12     1.08000000             0.84800000             0.72800000             0.00000000
  13     0.96800000             0.77600000             0.65600000             0.00000000
  14     1.00000000             0.80000000             0.68800000             0.00000000
  15     1.02400000             0.80800000             0.68800000             0.00000000
  16     1.03200000             0.80800000             0.69600000             0.00000000
  17     1.00000000             0.80000000             0.69600000             0.00000000
  18     1.02400000             0.80800000             0.69600000             0.00000000
  19     1.01600000             0.81600000             0.69600000             0.00000000
  20     1.03200000             0.82400000             0.70400000             0.00000000
  21     1.05600000             0.84800000             0.73600000             0.00000000
  22     1.04000000             0.84000000             0.72000000             0.00000000
  23     1.01600000             0.82400000             0.69600000             0.00000000
  24     1.00800000             0.80800000             0.69600000             0.00000000
  25     1.01600000             0.82400000             0.71200000             0.00000000
  26     1.02400000             0.83200000             0.71200000             0.00000000
  27     1.03200000             0.82400000             0.72000000             0.00000000
  28     1.06400000             0.84000000             0.73600000             0.00000000
  29     1.00800000             0.81600000             0.71200000             0.00000000
  30     1.03200000             0.82400000             0.72800000             0.00000000
  31     1.03200000             0.81600000             0.72000000             0.00000000
  32     1.00000000             0.80800000             0.69600000             0.00000000
  33     1.01600000             0.83200000             0.72000000             0.00000000
  34     1.02400000             0.83200000             0.72000000             0.00000000
  35     1.00000000             0.80800000             0.71200000             0.00000000
  36     1.00800000             0.80800000             0.71200000             0.00000000
  37     0.97600000             0.81600000             0.69600000             0.00000000
  38     0.98400000             0.82400000             0.70400000             0.00000000
  39     0.98400000             0.81600000             0.69600000             0.00000000
  40     0.99200000             0.81600000             0.70400000             0.00000000
  41     0.96800000             0.80000000             0.68800000             0.00000000
  42     0.96800000             0.80000000             0.68800000             0.00000000
  43     1.00000000             0.82400000             0.71200000             0.00000000
  44     1.00800000             0.83200000             0.71200000             0.00000000
  45     1.00800000             0.83200000             0.72000000             0.00000000
  46     1.02400000             0.84800000             0.73600000             0.00000000
  47     1.02400000             0.84800000             0.73600000             0.00000000
  48     1.00000000             0.81600000             0.71200000             0.00000000
  49     0.99200000             0.83200000             0.72800000             0.00000000
  50     1.00800000             0.84000000             0.73600000             0.00000000
