ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Solution
Code: DANS-DCM
Concentration: 100 %
Wavelength: 890 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   50
Ending pos:   90
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   
 110     0.99200000             0.80800000             0.60000000             0.00000000
 111     0.96800000             0.79200000             0.58400000             0.00000000
 112     1.00800000             0.80000000             0.60000000             0.00000000
 113     1.01600000             0.78400000             0.59200000             0.00000000
 114     0.96800000             0.77600000             0.57600000             0.00000000
 115     0.92000000             0.76000000             0.56000000             0.00000000
 116     0.88000000             0.71200000             0.53600000             0.00000000
 117     0.79200000             0.66400000             0.50400000             0.00000000
 118     0.80000000             0.70400000             0.54400000             0.00000000
 119     0.82400000             0.75200000             0.57600000             0.00000000
 120     0.82400000             0.80000000             0.60800000             0.00000000
 121     0.84000000             0.79200000             0.60000000             0.00000000
 122     0.84000000             0.81600000             0.60800000             0.00000000
 123     0.84000000             0.80800000             0.60800000             0.00000000
 124     0.81600000             0.77600000             0.59200000             0.00000000
 125     0.80000000             0.76800000             0.58400000             0.00000000
 126     0.80800000             0.79200000             0.60800000             0.00000000
 127     0.77600000             0.81600000             0.61600000             0.00000000
 128     0.76000000             0.81600000             0.60800000             0.00000000
 129     0.76800000             0.84000000             0.62400000             0.00000000
 130     0.75200000             0.80800000             0.60800000             0.00000000
 131     0.69600000             0.74400000             0.54400000             0.00000000
 132     0.66400000             0.72000000             0.53600000             0.00000000
 133     0.67200000             0.77600000             0.57600000             0.00000000
 134     0.67200000             0.81600000             0.60000000             0.00000000
 135     0.67200000             0.83200000             0.61600000             0.00000000
 136     0.68000000             0.84800000             0.61600000             0.00000000
 137     0.67200000             0.83200000             0.60800000             0.00000000
 138     0.64800000             0.84800000             0.62400000             0.00000000
 139     0.62400000             0.86400000             0.62400000             0.00000000
 140     0.61600000             0.86400000             0.61600000             0.00000000
 141     0.60800000             0.84800000             0.60800000             0.00000000
 142     0.60800000             0.84000000             0.60800000             0.00000000
 143     0.59200000             0.84800000             0.60800000             0.00000000
 144     0.59200000             0.84000000             0.61600000             0.00000000
 145     0.58400000             0.82400000             0.61600000             0.00000000
 146     0.58400000             0.83200000             0.62400000             0.00000000
 147     0.56800000             0.84800000             0.61600000             0.00000000
 148     0.56000000             0.84000000             0.60000000             0.00000000
 149     0.54400000             0.84000000             0.59200000             0.00000000
